test_version,locale,scale_name,gender,raw_score,t_score,age_group,notes
MMPI-2,TR,L,male,0,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,1,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,2,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,3,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,4,40,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,5,50,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,6,60,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,7,70,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,8,80,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,9,90,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,10,100,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,11,110,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,12,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,13,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,14,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,15,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,16,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,17,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,18,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,19,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,20,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,21,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,22,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,23,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,24,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,25,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,26,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,27,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,28,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,29,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,30,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,31,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,32,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,33,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,34,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,35,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,36,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,37,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,38,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,39,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,male,40,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,0,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,1,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,2,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,3,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,4,40,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,5,50,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,6,60,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,7,70,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,8,80,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,9,90,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,10,100,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,11,110,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,12,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,13,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,14,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,15,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,16,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,17,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,18,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,19,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,20,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,21,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,22,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,23,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,24,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,25,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,26,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,27,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,28,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,29,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,30,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,31,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,32,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,33,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,34,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,35,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,36,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,37,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,38,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,39,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,L,female,40,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,0,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,1,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,2,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,3,30,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,4,40,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,5,50,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,6,60,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,7,70,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,8,80,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,9,90,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,10,100,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,11,110,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,12,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,13,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,14,120,adult,NON-OFFICIAL-FORMULA
MMPI-2,TR,F,male,15,120,adult,NON-OFFICIAL-FORMULA
